quantity,rate
0.036654010000,34921.088000000000
0.361094850000,34891.917000000000
0.143418210000,34863.074000000000
0.000200840000,34800.000000000000
0.002000000000,34788.527000000000
0.001720170000,34728.000000000000
0.429759840000,34707.251000000000
0.000201420000,34700.000000000000
0.000461460000,34663.760000000000
0.006000000000,34649.800000000000
0.000199560000,34648.204000000000
0.001720170000,34628.000000000000
0.002000000000,34621.418000000000
0.000286750000,34609.832000000000
0.006000000000,34608.200000000000
0.000951380000,34602.912000000000
0.000502000000,34600.000000000000
0.000153820000,34516.347000000000
0.073376440000,34500.000000000000
0.000461460000,34463.760000000000
0.000300000000,34454.000000000000
0.001300000000,34432.278000000000
0.014766240000,34415.011000000000
0.000203180000,34400.000000000000
0.000610940000,34355.432000000000